publication_number,country,kind_code,family_id,application_number,publication_date,priority_date,title,abstract,assignee,inventor,cpc,ipc,matched_via,relevance_score,relevance_reason
CN-120805731-B,CN,B,97330769,CN-202511269707-A,20251118,20250908,"Modeling method, medium and equipment for civil aircraft PHM model based on cross-modal coupling","The invention discloses a modeling method, medium and equipment for a civil aircraft PHM model based on cross-modal coupling, and belongs to the technical field of aircrafts. The method comprises the steps of S1, preprocessing multi-mode data, carrying out feature extraction and space-time/event alignment aiming at three modes of flight time sequence data, text data and image data, laying a foundation for subsequent fusion modeling, S2, constructing a cross-mode feature fusion and holographic data sample, constructing a holographic data sample base covering a full life cycle through cross-domain fusion and dynamic optimization, S3, comprehensively modeling PHM physical-knowledge fusion, constructing a double-layer collaborative framework combining physical simulation and knowledge reasoning, and realizing controllable fusion of the physical simulation and multi-mode knowledge. The invention can solve the problems of difficult alignment of multi-source heterogeneous data, insufficient fusion between a physical mechanism and data driving, poor model interpretation and the like in the prior art.",,,G06F2123/02 | G07C5/0808 | G06N5/041 | G06N3/0464 | G06N3/042 | G06N3/045 | G06N5/022 | G06F16/2474 | G06F16/2264 | G06F18/213 | G06F18/15 | G06F18/253 | G06F30/27,G07C5/08 | G06N5/04 | G06N5/022 | G06N3/0464 | G06N3/045 | G06N3/042 | G06F123/02 | G06F18/25 | G06F18/213 | G06F18/15 | G06F16/2458 | G06F16/22 | G06F30/27,general,2,民間航空機PHMモデルのクロスモーダル結合物理シミュレーション+知識推論。予知保全フレームワーク(航空分野隣接)
CN-120974956-A,CN,A,97641918,CN-202511505463-A,20251118,20251021,Closed-loop self-adaptive motor turn-to-turn short circuit dynamic evolution simulation system,"The invention discloses a closed-loop self-adaptive motor turn-to-turn short circuit dynamic evolution simulation system, which relates to the technical field of motor fault simulation and comprises a feature extraction module, a fault evolution modeling module, a multi-level parameter dynamic correction module and a simulation strategy optimization module, wherein the feature extraction module is used for calculating and generating a fault excitation index and a winding chaos entropy from acquired motor operation data, the fault evolution modeling module is used for solving a preset fault evolution model based on the fault excitation index and the winding chaos entropy to generate an updated fault resistance, the multi-level parameter dynamic correction module is used for correcting parameters of a simulation model according to the winding chaos entropy, and the simulation strategy optimization module is used for switching among a plurality of preset simulation modes according to the winding chaos entropy. According to the invention, a closed-loop self-adaptive system is constructed, a interdisciplinary theory is fused, dynamic simulation of the turn-to-turn short circuit full life cycle of the motor is realized, and high fidelity, physical interpretability and calculation efficiency are considered through a multi-level correction and self-adaptive strategy.",NANTONG SHUOXING ELECTROMECHANICAL CO LTD,MAO FEIXIONG | MAO PENGFEI | LIU LU,G06F18/213 | G06N7/08 | G06F30/27,G06N7/08 | G06F18/213 | G06F30/27,general,3,モータ巻線間短絡動的進展シミュレーション(重複)。故障進展物理シミュレーション
CN-120974971-A,CN,A,97658245,CN-202511075846-A,20251118,20250801,Wind field data modeling method and system for wind resistance test of small and medium-sized unmanned aerial vehicle,"The invention discloses a wind field data modeling method and system for a wind resistance test of a medium-sized and small-sized unmanned aerial vehicle, which comprise the steps of collecting topographic data, wind speed data and wind turbine data of the test wind field, determining a preset area and an unmeasured area according to a preset track of the unmanned aerial vehicle based on the test wind field, obtaining boundary conditions and disturbance grid wake of the unmeasured area through fluid simulation based on the topographic data and the preset area, carrying out wind speed vector decomposition on grids according to the preset wind field boundary conditions, obtaining a preset wind field model according to disturbance time sequences, maneuvering weights of the unmanned aerial vehicle and disturbance grid wake, obtaining a predicted wind field of the unmeasured area through Gaussian process regression based on the preset wind field model, and obtaining a target wind field model through grid time sequence coupling by using different preset tracks of the unmanned aerial vehicle. According to the method, through space-time collaborative interpolation and fluid simulation of Gaussian process regression, the inlet boundary condition is more in accordance with the fluid mechanics rule, and the physical consistency and reliability of a target wind field are improved.",JIANGSU SUPERVISION INSPECTION INST PROD QUALITY | JIANHU COUNTY PRODUCT QUALITY SUPERVISION AND INSPECTION INST,YUE YANGSHUO | XU XIAOANG | LI JILIN | XIAO QUANWANG | DONG CHANGSHENG | CHENG MENGYING,G06F30/15 | G06F2123/02 | G06F2119/14 | G06F2113/08 | G06F18/27 | G06F18/213 | G06F30/27 | G06T17/205 | G06F30/23 | G06F30/28 | G01D21/02,G06T17/20 | G06F123/02 | G06F119/14 | G06F113/08 | G06F30/27 | G06F30/23 | G06F30/15 | G06F18/27 | G06F18/213 | G01D21/02 | G06F30/28,general,2,UAV耐風試験用風況データモデリング(重複)。境界条件流体シミュレーション
CN-120974706-A,CN,A,97644175,CN-202510968240-A,20251118,20250714,Numerical simulation method for light cutter cutting reinforced concrete continuous wall,"The invention discloses a numerical simulation method for a light cutter cutting reinforced concrete wall, which comprises the steps of S1, constructing a cutter cylinder model, a cutter tooth model and a reinforced concrete wall connecting model, S2, assembling the cutter tooth model and the cutter cylinder model into a light cutter model, arranging the light cutter model and the cutter cylinder model in front of the reinforced concrete wall connecting model, S3, defining material parameters and section properties of each part, S4, creating a dynamic explicit analysis step, sequentially executing grid division, rigid constraint definition and binding constraint definition interaction operation on a three-dimensional model, S5, setting boundary conditions, fixedly connecting four sides of the wall, and applying cutter propelling displacement and rotating speed to a reference point, and S6, carrying out data analysis. The invention can simulate cutting effects under different working conditions, optimize cutter configuration and tunneling parameters, and solve the problem that passive rotation is difficult to simulate when the hob cutters cut reinforced concrete, so that the numerical model is more in line with actual cutting effects.",CHINA TIESIJU CIVIL ENG GROUP CO LTD | CHUANGZHI ENGINEERING TECH BRANCH OF CHINA RAILWAY NO 4 ENGINEERING GROUP CO LTD,JIANG SHENGHUA | ZHANG WEI | WEI LIANG | XU ZE | DENG XIFEI | ZHOU WEI | ZHU SONGLIN | YANG JIE | DU WEI | QU ZEJUN | CAI HAIBING | LI YAFENG | ZHOU JIANGLONG,G06F2119/14 | G06F2111/04 | G06F2111/10 | G06T17/20 | G06F30/20,G06T17/20 | G06F119/14 | G06F111/10 | G06F111/04 | G06F30/20,general,2,軽量カッター鉄筋コンクリート切断数値シミュレーション、複数作動条件境界条件。建設機械設計シミュレーション
CN-120974926-A,CN,A,97659000,CN-202511249336-A,20251118,20250903,Standard modularized energy storage thermal runaway early warning method and system based on digital twinning,"The invention discloses a standard modularized energy storage thermal runaway early warning method and system based on digital twinning, and relates to the technical field of energy storage system safety monitoring. The method comprises the steps of deploying multi-type sensors in an energy storage unit to form a network, collecting multidimensional data such as temperature, voltage, gas concentration and the like, transmitting the data to a digital twin platform, converting the data into a format, then using the format to predict thermal runaway, combining the platform with an LSTM-GBDT mixed model through physical modeling, outputting risk probability, and triggering early warning by comparing a risk threshold. The system comprises a sensing perception module, a data acquisition and transmission module, a digital twin prediction module and an early warning execution module. The digital twin platform is used for combining physical simulation and historical data training, so that the heat transfer and uncontrolled propagation process can be accurately simulated, virtual simulation optimization is supported, early warning accuracy and reliability are improved, and operation and maintenance burden and accident potential are reduced.",GUANGZHOU NAWEI CARBON BASED TECH CO LTD,YAN HANHUI | QIU HAO,G06F2119/02 | G06N5/01 | G06N3/0442 | G06N3/045 | G06F30/27,G06N5/01 | G06N3/045 | G06N3/0442 | G06F119/02 | G06F30/27,general,3,蓄エネ熱暴走早期警報デジタルツイン。物理シミュレーション+履歴データで熱伝導・暴走伝播プロセスを模擬しリスク確率算出(電池安全分野)
CN-120974937-A,CN,A,97648898,CN-202511492584-A,20251118,20251020,Electromagnetic pulse transmission simulation method and system based on scattering matrix and crossing ionosphere,"The invention provides an electromagnetic pulse transmission simulation method and system based on a scattering matrix, wherein the method comprises the steps of constructing a source area waveform signal, carrying out Fourier transform on the source area waveform signal to obtain the amplitude and the phase of different frequency components of the source area signal, uniformly layering the ionized layer to obtain the electron density, the electron collision frequency and the total electron content of a path along which the ionized layer is layered, writing the scattering matrix by boundary conditions, combining the scattering matrices among all adjacent layers after the uniform layering of the ionized layer to construct a global matrix, calculating a total transmission coefficient, calculating the amplitude attenuation and the phase change of a single-frequency signal when the ionized layer is transmitted according to the total transmission coefficient, carrying out Fourier inverse transform according to the amplitude attenuation and the phase change to obtain a time domain signal after the ionized layer is passed, updating the source area waveform signal, and comprehensively and accurately describing the scattering characteristics of electromagnetic waves in a complex environment by a final simulation result.",UNIV NANCHANG,WANG YUHAO | ZHOU BINGYAN | LIU YIWEN | RAO WENTAO | YUAN KAI | XU YANG | MA ZHIGANG,G06F2123/02 | G06F18/22 | G06F18/2131 | G06F30/27,G06F123/02 | G06F18/22 | G06F18/2131 | G06F30/27,general,1,電磁パルス伝搬シミュレーション電離層(重複)。物理解析手法
CN-120805519-B,CN,B,97308915,CN-202511304363-A,20251118,20250912,Full-slope erosion sand transportation simulation method integrating soil properties and land utilization,"The invention discloses a full-slope erosion sand conveying simulation method for integrating soil properties and land utilization, which is characterized by respectively collecting erosion sand conveying basic data corresponding to full slopes of a hilly slope and a valley slope in a river basin, wherein the erosion sand conveying basic data comprises soil data, topographic data, land utilization data, vegetation data and water sand data, automatically judging the erosion environment type of the full slope based on the erosion sand conveying basic data, topographic conditions and land utilization type boundary conditions, acquiring initial parameters to be optimized for influencing erosion based on the erosion environment type, updating the initial parameters to be optimized based on a cuckoo search algorithm until optimal parameters are obtained, changing slope combinations and slope lengths in the topographic conditions and land utilization type and vegetation coverage rate combinations in the land utilization type boundary conditions, obtaining various different scenes, and simulating full-slope sand conveying evolution processes based on the different scenes and the optimal parameters to obtain slope sand conveying rates under different conditions.",,,G06F18/25 | G06F18/241 | G06N3/006 | G06F30/20,G06N3/006 | G06F18/25 | G06F18/241 | G06F30/20,general,2,全斜面侵食砂輸送シミュレーション、地形/土地利用境界条件を変えた複数シナリオ。侵食分野の多条件シミュレーション
CN-120951832-A,CN,A,97609629,CN-202511483812-A,20251114,20251017,Hydraulic pump air tightness multi-physical field coupling simulation method,"The invention relates to the technical field of hydraulic pump simulation, and discloses a hydraulic pump air tightness multi-physical field coupling simulation method. The method comprises the steps of firstly establishing a three-dimensional geometric model based on hydraulic pump structural parameters, setting multi-physical field coupling boundary conditions such as a fluid field, a temperature field, a stress field and the like, and then carrying out dynamic grid division to generate an adaptive grid topological structure. And inputting the boundary conditions into a coupling solver for iterative computation to obtain initial simulation data, optimizing a grid model according to residual distribution, executing multi-field coupling simulation computation by using the optimized model, and outputting a result. The coupling solver is subjected to history experimental data training construction, the grid can be subjected to local encryption or sparsification, simulation results are stored in a classified mode, access keys are set to ensure safety, and the solver can be optimized according to different working conditions. The method can comprehensively consider the coupling effect of multiple physical fields, improves simulation precision and calculation efficiency, and provides effective support for the study of the air tightness of the hydraulic pump and the design optimization.",QIDONG YUANHUA MACHINERY CO LTD,LIU JINJUN,G06F2113/08 | G06F2119/14 | G06F2119/08 | G06F30/28 | G06F30/27,G06F119/14 | G06F119/08 | G06F113/08 | G06F30/28 | G06F30/27,general,1,油圧ポンプ気密性マルチフィジックスシミュレーション(重複)。設計解析目的
CN-120143646-B,CN,B,95950266,CN-202510291573-A,20251114,20250312,Fault simulation device of aviation power supply system and control method thereof,"The invention discloses an aviation power supply system fault simulation device and a control method thereof, wherein the device comprises an AC aviation power supply module, an aviation direct current power supply module, a multiplexing switch, a poor contact and overload fault simulator, an RLC load and a signal collector; the device comprises a fault simulator, a fault signal collector, a voltage value acquisition device and an RLC load, wherein the fault simulator is used for simulating series arcs of fault of alternating current power supply and direct current power supply of an aviation power supply under different RLC loads, acquiring arc images and arc temperatures, and acquiring wire images and temperatures during overload faults, the signal collector is used for acquiring voltage values between a multiplexing switch and a zero line and between the fault simulator and the fault simulator, voltage values between a positive electrode and a negative electrode, current flowing through the zero line or the negative electrode and current flowing through a live wire or the positive electrode after the series arcs are generated, and the RLC load is used for simulating different types of loads including resistive loads, inductive loads and capacitive loads.",,,G05B17/02 | G01J5/48 | G01J5/0096 | G01R19/16538 | G01R31/66 | G01R31/42,G01R31/66 | G01R31/42 | G01R19/165 | G01J5/48 | G01J5/00 | G05B17/02,general,4,航空電源システムfault simulation装置。異なるRLC負荷下でAC/DC電源の直列アーク故障・過負荷故障をシミュレート。目的に合致(航空分野)
CN-120952302-A,CN,A,97620834,CN-202510834402-A,20251114,20250620,Method and system for measuring and calculating yield of wind-solar storage system based on Homer Pro,"The application discloses a method and a system for measuring and calculating the yield of a wind-light storage system based on Homer Pro, wherein the method comprises the steps of constructing a wind-light storage system model in Homer Pro software and configuring corresponding parameters; setting up one or more configuration schemes for the wind-solar storage system model, setting corresponding simulation boundary conditions for the configuration schemes to form different simulation scenes, carrying out automatic simulation on each simulation scene, automatically extracting internal yield from simulation results, carrying out structuring treatment on the extracted internal yield to generate internal yield under different configuration schemes, carrying out comparison analysis, and obtaining a sensitivity analysis report and an optimal configuration scheme based on the comparison analysis result. By utilizing the scheme of the application, the simulation scene can be ensured to be flexibly attached to the real boundary conditions of various projects. And a clear sensitivity analysis report and an optimal configuration scheme can be generated, so that a complicated technical measuring and calculating process is converted into an efficient assessment tool.",CHINA DATANG GROUP TECH INNOVATION CO LTD,DUAN QIWEI | KAGEYO | YAN JINGSHU | LIU HAIYANG | FENG SHAOGUANG | YANG WENBO | SHI WENGANG | YANG LIN,G06F30/20 | G06Q50/06 | G06Q10/063,G06Q50/06 | G06F30/20 | G06Q10/063,general,2,Homer Proによる風力太陽光蓄電システム収益計算。複数境界条件下の複数シミュレーションシナリオ感度分析(エネルギー計画分野)
CN-116087891-B,CN,B,86202669,CN-202310192726-A,20251114,20230302,Semi-physical simulation method for airborne radar interference scene,"The invention discloses a semi-physical simulation method of an airborne radar interference scene, which relates to the technical field of radars and comprises the steps of finding a corresponding file of a scene to be simulated in a recorder, and extracting inertial navigation data and a beam control word to form the file; the method comprises the steps of importing files into scene editing software and a radar beam scheduling module to generate interference track data, sending the interference track data to the radar beam scheduling module, forming interference echo on an interference machine control page, playing back actually measured clutter data through recorder control software, selecting a simulation mode on radar display control software, setting signal processing parameters, running simulation, generating a simulation target by a digital beam forming plug-in, receiving the clutter and the interference echo, synthesizing the clutter and the interference echo to form a synthesized beam, and finally carrying out signal processing.",,,Y02A90/10 | G09B9/40 | G09B9/003 | G01S7/40 | G01S7/38,G09B9/40 | G09B9/00 | G01S7/40 | G01S7/38,general,2,機載レーダー干渉シーンの半物理シミュレーション。妨害シナリオシミュレーション試験(防衛分野)
CN-120951610-A,CN,A,97613512,CN-202511471270-A,20251114,20251015,"Optical cleaning simulation analysis method and device, electronic equipment and storage medium","The invention provides a light cleaning simulation analysis method, a light cleaning simulation analysis device, electronic equipment and a storage medium, and relates to the technical field of light cleaning. The method comprises the steps of obtaining a geometric model of the light cleaning chamber, setting simulation parameters for the geometric model, adding a geometric optical physical field and a laminar flow physical field into the geometric model, setting material initial conditions for the geometric model, carrying out ray tracing on the geometric optical physical field and carrying out steady-state solving on the laminar flow physical field, simulating ultraviolet irradiance and a gas flow field in the light cleaning chamber to obtain a simulation result, and carrying out simulation analysis on the simulation result to obtain a simulation analysis result. The method aims to solve the problems of low research efficiency and high trial-and-error cost caused by the lack of effective guiding directions when the traditional light cleaning technology is used for exploring the layout of the gas circuit and the light source, improve the research and exploration efficiency and reduce the exploration cost in experiments.",JI HUA LABORATORY,LIU HAO | GUO KESHENG | Luo Aixin | XU LONG | ZHOU BOTAO,G06F30/10 | G06F30/28 | G06F30/20,G06F30/28 | G06F30/10 | G06F30/20,general,1,光洗浄シミュレーション解析(重複)。設計探索ツール
CN-120951515-A,CN,A,97612077,CN-202510818511-A,20251114,20250618,Marine fan high average stress node fatigue evaluation method,"The invention discloses a fatigue evaluation method for a high average stress node of an offshore wind turbine, which comprises the following steps of firstly, obtaining a load time course of axial force and bending moment acting on the top end of a tower barrel of the offshore wind turbine under each sea condition through dynamic analysis according to environmental parameters including sea condition parameters of a working sea area of the offshore wind turbine and wind, wave and flow coupling action, secondly, establishing a material constitutive model, establishing a steel normal-temperature creep constitutive model through Norton theory and Ramberg-Osgood model, describing creep rate and stress relation of a bolt material under long-term service, thirdly, establishing an integral modeling model of a tower barrel connecting structure and a local fine model of a bolt connecting unit, fourthly, calculating creep influence based on the fine model, loading an analysis result as an initial condition to the integral model and carrying out stress response analysis, and fifthly, carrying out fatigue damage prediction on the offshore wind turbine structure based on S-N curve and Palmgen-Miner rule.",SHANGHAI INVESTIGATION DESIGN & RES INST CO LTD | UNIV TIANJIN,LIN LIN | XU HAORAN | CHEN NIANZHONG | LIN YIFENG | SHEN PANPAN | Zheng Tingsen | Zhao Shilun | WANG RUI,G06F2119/02 | G06F2119/14 | G06F2113/06 | G06F2111/04 | G06F30/20,G06F119/14 | G06F119/02 | G06F113/06 | G06F111/04 | G06F30/20,general,1,洋上風力タービン高平均応力ノード疲労評価、初期条件。構造疲労解析物理シミュレーション
CN-120951523-A,CN,A,97617418,CN-202510914468-A,20251114,20250703,Kalman filtering-based composite material repair interface temperature field estimation method,"The invention relates to the technical field of composite material repair and intelligent monitoring, in particular to a composite material repair interface temperature field estimation method based on Kalman filtering, which comprises the following steps of 1, constructing an aircraft composite material repair solidification heat transfer control equation; step 2, establishing a one-dimensional space model of the repair curing heat transfer state, establishing a node at intervals of delta z in the thickness direction to obtain a discrete thermal control equation, giving boundary conditions, and step 3, establishing a nonlinear Kalman filtering model of the repair curing heat transfer, deducing to obtain a Kalman filtering coefficient K, inputting an initial state value, and estimating the temperature of a cementing interface. According to the invention, by introducing a state estimation and noise suppression technology, multipoint temperature acquisition data are effectively fused, and the temperature of the adhesive joint interface of the patch is accurately estimated on line and in real time, so that a reliable temperature control basis is provided for a temperature control system of the thermal compensation instrument, and the problem of inaccurate temperature control in the prior art is solved.",WUHU STATE OWNED FACTORY MACHINING,HAN NING | XUAN SHANYONG | HUANG RENCHANG | SUN YUNGANG | LIU PENG | ZHOU YUAN,G06F2119/08 | G06F2113/26 | G06F17/11 | G06F30/15 | G06F30/20,G06F119/08 | G06F113/26 | G06F30/15 | G06F17/11 | G06F30/20,general,1,複合材料補修界面温度場カルマンフィルタ推定、境界条件。物理+推定手法
CN-118313148-B,CN,B,91728108,CN-202410556343-A,20251114,20240507,Performance evaluation method and system for automobile rear wheel active steering system,"The invention relates to the technical field of intelligent control of rear wheels of automobiles, in particular to a performance evaluation method and system of an active steering system of a rear wheel of an automobile, and establishes a complete set of functions and performance evaluation system and test method of the rear wheel steering system based on the function requirements of the whole automobile and the dynamic performance standards and requirements of the automobile. The method comprises the steps of taking a functional scene, scene working conditions, working condition evaluation indexes and an evaluation method as early evaluation standards of a control strategy software development stage, performing virtual simulation verification, and rapidly performing strategy, software evaluation and optimization. The method can be used as a test working condition and test case foundation of the software and hardware integrated development stage of the controller to carry out semi-physical simulation test of the controller in the loop and carry out quick verification on the software and the hardware of the controller. And the final function and performance are completely evaluated as a judging standard for the function and performance rack test of the rear wheel active steering real object system, the calibration of the whole vehicle and the test evaluation.",,,G06F17/10 | G06F30/20,G06F17/10 | G06F30/20,general,3,自動車後輪能動操舵性能評価。機能シナリオ・作動条件で仮想シミュレーション+半物理シミュレーション(コントローラインループ)試験
CN-120954283-A,CN,A,97618284,CN-202511159032-A,20251114,20250819,Practical training platform for overhaul skills of reheater or superheater and control method thereof,"The invention discloses a practical training platform for overhaul skills of a reheater or a superheater and a control method thereof, wherein the platform comprises a multi-angle simulation area module, a control module and a control module, wherein the multi-angle simulation area module comprises at least three simulation areas which can be independently operated and are used for respectively simulating different space installation positions of the reheater or the superheater in a boiler of a thermal power plant; the integrated fault simulation module is configured in the replaceable pipe fitting module and is used for actively generating leakage or pipe explosion fault phenomena, and the integrated control module is used for sending a fault triggering instruction to the integrated fault simulation module, calling a preset process database according to the current pipe fitting parameters of the replaceable pipe fitting module and sending synchronous start-stop instructions to at least three simulation areas of the multi-angle simulation area module. Through integrating the multi-module collaborative architecture, full scene coverage, multi-specialty linkage and process pre-verification are realized, and multi-specialty collaborative training operation is supported.",HUANENG SHANGHAI ELECTRIC POWER MAINTENANCE CO LTD,TIAN JING | TAO XIAOBO | LIU XIANGHAI | LI JINGZE | LIU LEI | WANG YONGXUAN | YUAN ZHENHUA | DING HONGFEI | XU HAI | CHENG PING | Zou Haohua | XU CHAOPING | WANG XIAO | QI JINGWEN,G09B25/02 | G09B9/00,G09B25/02 | G09B9/00,general,4,再熱器/過熱器保守訓練プラットフォーム。統合fault simulation moduleで漏洩やパイプ爆発故障現象を能動的に発生。ハザード事象生成の訓練に合致(発電分野)
CN-120950990-A,CN,A,97606566,CN-202511040986-A,20251114,20250728,"Annular heat supply network impedance identification method based on gradient descent method, electronic equipment and computer readable storage medium","The invention provides a loop heat supply network impedance identification method based on a gradient descent method, electronic equipment and a computer readable storage medium, wherein the method comprises the steps of inputting model parameters and boundary conditions of a loop heat supply network; the method comprises the steps of carrying out normalization processing on a designed impedance vector, calculating a theoretical pressure value based on a hydraulic working condition model of an annular pipe network, combining actual measured pressure values of all heat exchange stations, constructing a loss function, calculating gradients of the loss function on the impedance of all normalized pipe sections, iteratively updating the impedance values of all pipe sections according to the gradients based on a gradient descent algorithm, judging whether convergence conditions are met, carrying out inverse normalization processing on the impedance values meeting the convergence conditions to obtain the actual impedance values of all the identified pipe sections, and realizing the identification of the impedance values of all the pipe sections by only using collected pressure data of the heat exchange stations on the premise that the annular heat supply network is not required to be modified.",TIANJIN SINO GERMAN UNIV APPLIED SCIENCES,LIU ZHIKAI | DAI TING | ZHANG LIAN | XU XIN | ZHANG QI | TAO FENG,G06F2119/14 | G06F2113/14 | G06F2113/08 | G06F2111/10 | G06F30/28 | G06F30/27 | G06F30/18 | G06N3/084 | G06F18/213 | G06F18/15 | G06F18/22,G06N3/084 | G06F119/14 | G06F113/14 | G06F113/08 | G06F111/10 | G06F30/28 | G06F30/27 | G06F30/18 | G06F18/213 | G06F18/15 | G06F18/22,general,1,環状熱供給網インピーダンス同定勾配降下法、境界条件。物理逆解析手法
CN-120951591-A,CN,A,97605670,CN-202511127931-A,20251114,20250813,Turbine maintenance decision optimization system and method based on fault cases,"The invention discloses a turbine maintenance decision optimization system and method based on a fault case, which belong to the field of turbine maintenance and comprise a data acquisition processing module, a dynamic map construction module, a multi-source data alignment module, a cross-domain fault simulation module, a fault cause and effect deduction module, a maintenance strategy generation module and a strategy adaptation migration module; the invention can realize the effective integration of the cross-modal information, enhance the expression capability of fault diagnosis and maintenance knowledge, improve the adaptability and accuracy of the system, promote the physical reality and reliability of fault prediction, help maintenance personnel understand the fault propagation mechanism and risk sources, promote the transparency and reliability of decision, avoid the limitation of a single scheme, ensure that maintenance decisions can respond to environmental changes in time, improve the adaptability and efficiency of maintenance execution, preview the maintenance effect in advance, reduce the on-site trial-and-error risk, realize the scientific evaluation and quantitative management of the risk and promote the security guarantee of the maintenance scheme.",TECH SERVICE BRANCH OF HUADIAN POWER INTERNATIONAL CORPORATION LTD,WANG WEI | ZHANG HUA | MA JI | HAN RONGLI | LIU MAOMING | JIANG PENGBO | LIU XIANCHUN | LI JUN | WANG CHENGLIANG | ZONG XUDONG | CUI XIUQIANG | A Yunsheng,G06N5/025 | G06F30/20,G06N5/025 | G06F30/20,general,3,故障事例に基づくタービン保守決定最適化。クロスドメインfault simulation moduleで故障因果推論・保守効果プレビュー(エネルギー分野)
CN-119475692-B,CN,B,94586420,CN-202411483499-A,20251114,20241023,Method for quickly solving electromagnetic field distribution under variable dielectric constant,"The invention belongs to the field of electromagnetic field calculation, and particularly relates to a method for quickly solving electromagnetic field distribution under a variable dielectric constant. According to the method, the physical field under the initial boundary condition is solved, the full-wave simulation method is utilized, and in the subsequent iterative calculation, the electromagnetic field distribution is continuously adjusted by utilizing a correction calculation formula every time the dielectric constant of a substance changes, so that the corresponding electromagnetic field distribution is obtained. The algorithm is particularly suitable for the situation that the dielectric constant of the substance is gradually changed under the influence of external environment factors. The invention solves the problem of huge calculation amount caused by adopting a repeated full-wave simulation calculation method aiming at the environments such as continuously changing physical properties, physical fields and the like of the substances in the traditional method. By rapidly acquiring real-time electromagnetic field distribution around an object, the electromagnetic field radiation condition and the electromagnetic wave leakage condition of a system can be observed, and the problem of systematic electromagnetic compatibility is solved.",,,Y02E60/00 | G06F30/20,G06F30/20,general,1,可変誘電率下の電磁界分布高速解法、境界条件。物理計算加速化手法
CN-120951538-A,CN,A,97615853,CN-202511017010-A,20251114,20250723,Cross-scale large-scale electromagnetic surface grid generation method with periodic fine features,"The invention discloses a trans-scale large-scale electromagnetic surface grid generation method with periodic fine features, which comprises the steps of reading a trans-scale electromagnetic geometric model with periodic fine features, setting replication directions and numbers, setting periodic boundary conditions of the electromagnetic geometric model, determining source surfaces and target surfaces in the replication directions, extracting boundary lines, establishing a mapping relation between the source surfaces and the target surfaces and the boundary lines, discretizing the electromagnetic geometric model to generate a discrete background triangular grid, generating a size field of integral geometry according to the periodic fine features and the trans-scale features of the electromagnetic geometric model, generating and merging surface grids of the source surfaces, the target surfaces and the rest surfaces according to the mapping relation and the discrete background triangular grid and the size field, and batch-copying the merged surface grids according to the replication directions and the numbers according to the surface grids to generate the trans-scale large-scale electromagnetic surface grid with the periodic fine features.",UNIV ZHEJIANG,CHEN JIANJUN | ZHANG YANJUN | YE HONGFEI | ZHOU HENGYU,G06F2111/10 | G06T17/20 | G06F30/20,G06T17/20 | G06F111/10 | G06F30/20,general,1,周期的微細構造電磁表面グリッド生成(重複)。メッシュ生成アルゴリズム
CN-120949606-A,CN,A,97610493,CN-202511020725-A,20251114,20250723,Inverter multi-model fusion control performance evaluation method for complex power grid,"The invention discloses an inverter multi-model fusion control performance evaluation method for a complex power grid, and belongs to the field of electrical engineering. The method is oriented to the operation characteristics of the new energy grid-connected inverter in the complex power grid environment, and the high-efficiency evaluation of the multi-model fusion control strategy in the aspects of stability, adaptability and performance improvement is realized by constructing a test sample library covering various disturbance scenes and combining a semi-physical simulation platform and a multi-dimensional performance index system. The method has the characteristics of simplicity and convenience in implementation and comprehensive evaluation, can provide real-time data support for control strategy optimization, and improves the robustness and intelligent regulation and control capability of the grid-connected inverter under the dynamic power grid condition. Compared with the prior art, the method effectively solves the problems that the traditional evaluation method is difficult to quantify adaptability, optimal performance and insufficient evaluation precision when dealing with the disturbance of the complex power grid.",UNIV HEFEI TECHNOLOGY,LI MING | LIU ENJUN | MAO YONGTAO | WANG XING | ZHANG XING | XIAO YANGJUN | Fang Tianli | FAN JUNYU | GENG HUA | HE XIUQIANG | LIU TENG | HUANG WEIHUANG,G05B17/02,G05B17/02,general,3,複雑電力網向けインバータ多モデル融合制御評価。多様な擾乱シーンをカバーする試験サンプルライブラリ+半物理シミュレーション(エネルギー分野)
CN-120951543-A,CN,A,97615815,CN-202511038719-A,20251114,20250728,Tensioning type mooring interception design method considering mooring failure,"The invention provides a tensioning type mooring line cutting-off design method considering mooring failure, which comprises the steps of 1, selecting a mooring line cutting-off parameter and a value range thereof, 2, obtaining restoring force data after each displacement of a platform under full water depth, 3, obtaining a mooring line horizontal projection distance under an initial condition of the platform under cutting off water depth, 4, obtaining restoring force data after each displacement of the platform under cutting off water depth, 5, determining a mooring line failure working condition and formulating an optimization algorithm objective function, and 6, optimizing and selecting the mooring line cutting-off parameter by utilizing the determined optimization algorithm objective function through an optimization program to obtain an optimal solution. The invention can simultaneously consider the interception design of the two conditions before and after the mooring failure, further provides reference for the interception design of the mooring failure, and can effectively reduce the error of the restoring force of the platform with full water depth by considering the interception design of the conditions before and after the mooring failure compared with the interception design of the platform under the condition of no failure.",UNIV TIANJIN,YU YANG | LI YIHAN | DUAN QINGHAO | TIAN HANXU | GUO TIANZHAO,G06F2119/14 | G06F2113/08 | G06F2111/06 | G06N3/126 | G06F30/17 | G06F30/27 | G06F30/28 | G06F30/20,G06N3/126 | G06F119/14 | G06F113/08 | G06F111/06 | G06F30/28 | G06F30/27 | G06F30/17 | G06F30/20,general,3,係留失敗を考慮した張力係留切断設計。係留故障(ハザード)作動条件を考慮した設計手法(海洋工学分野)
